"claim","analysis","result","threshold","verdict","limitations","output_reference"
"Fe II full-scan look-elsewhere evidence","significance_results","scan-global p=0.0002 (0/5000 exceedances)","p <= 0.05","pass","empirical p is bounded by Monte Carlo resolution; zero exceedances are not an exact smaller p","significance_results.csv"
"Fe II full declared-family FWER correction","global_multiple_testing","family-max=0.0002; Holm=0.0118; Bonferroni=0.0118; BH=0.0002034; BY=0.0009485; family=59","all reported FWER-adjusted p-values <= 0.05","pass","Holm/Bonferroni are valid without independence; family-max uses an approximate marginal-null coupling; BY is also reported for arbitrary-dependence FDR","multiple_testing.csv"
"Fe II robustness to declared alternative null models","alternative_null_results","worst-case p=0.0005999 under block_residual_refit","all declared null-model scan-global p <= 0.05","pass","post-signal adversarial stress tests; not historical preregistration and not a claim that one generator is the unique physical null","alternative_null_results.csv"
"Synthetic-null false-positive calibration","null_calibration","FPR@0.05=0.0528 [0.0485, 0.0574]","nominal 0.05 lies within calibration CI","pass","calibration tests the canonical fitted-Poisson synthetic null; alternative-null robustness is reported separately","null_calibration.csv"
"Frozen blocked holdout replication","run_holdout_replication","7/8 designs have conservative p<=0.05 and positive direction; median conservative p=0.000999","strict: every declared blocked design conservative p<=0.05 with positive direction","mixed","k is frozen from training; conservative p=max(fixed-baseline, baseline-refit null calibration); blocks still come from one line list and are not independent experiments","holdout_results.csv"
"Held-out predictive transfer of smooth-plus-periodic model","model_comparison","held-out log-likelihood gain M1-M0 = -12.1945","gain > 0","fail","explicitly preserves the prior failure if the large in-sample model gain does not transfer out of sample","model_comparison.csv"
"Declared Fe II bin stability","bin_stability_summary","70.0% of audit-declared bins select the reference region",">= 80% (audit-declared descriptive threshold)","fail","descriptive robustness criterion, not historical preregistration or a universal physical threshold","bin_stability_summary.csv"
"Bootstrap peak-region stability","peak_stability","100.0% of primary bootstrap resamples select the 2% reference region",">= 80% (audit-declared descriptive threshold)","pass","resampling the same dataset does not constitute independent replication","peak_stability.csv"
"Specification multiverse stability","run_model_sensitivity","89.4% of declared specifications select the reference region",">= 80% (audit-declared descriptive threshold)","pass","the threshold is a robustness convention; the full specification table remains primary evidence","specification_results.csv"
"Injection null type-I behaviour","run_injection_recovery","A=0 detection probability=0.0455 (2000 simulations)","<= 0.05","pass","finite simulation uncertainty applies; null_calibration.csv is the dedicated type-I assessment","injection_recovery.csv"
"Independent experimental confirmation","none","not attempted","independent dataset/experiment required","not established","programming-language parity, alternate preprocessing, and same-line-list holdouts are not independent experiments","limitations"
"WCT physical mechanism or universal atomic law","none","not tested by this statistical audit","physical mechanism evidence required","not established","statistical structure alone cannot identify a causal WCT mechanism","limitations"
