"claim","analysis","result","threshold","verdict","limitations","output_reference"
"Python/R computational agreement","python_r_parity","max |k_best| diff = 0.00e+00","<= 1e-10","pass","deterministic pipeline only; RNG bootstrap excluded","python_r_parity.csv"
"Fe II scan-global significance","significance_results","global p = 0.03846 (tail=0/25)","report (resolution-limited)","pass (zero exceedances)","p bounded by 1/(B+1); not an exact p below the floor","significance_results.csv"
"Fe II bin stability","bin_stability_summary","70% of bins in reference region; CV(k)=0.4212",">= 80% (descriptive)","inconclusive","descriptive threshold, not a universal law","bin_stability_summary.csv"
"Fe II bootstrap peak stability","peak_stability","100% of resamples in 2% region",">= 80% (descriptive)","pass","data bootstrap; not independent data","peak_stability.csv"
"Observed/Ritz consistency","observed_ritz_replication","all sources same region: TRUE","same predefined region","pass","not fully independent (same transitions)","observed_ritz_replication.csv"
"Held-out predictive behaviour","holdout_results","8/8 designs direction-consistent; median fixed-k p=0.038","consistent on blocked holdout","see result","k locked from training; blocks not independent experiments","holdout_results.csv"
"False-positive calibration","null_calibration","FPR@0.05 = 0.000 [0.000, 0.137]","alpha within CI","pass","wide CI at small calibration_n","null_calibration.csv"
"Model comparison (in-sample vs held-out)","model_comparison","in-sample AIC favours M1 by 312; held-out loglik gain=-36.8 (does NOT transfer to held-out block)","report both","see result","k from scan; AIC/BIC do not fully correct look-elsewhere; M0 not a physical model","model_comparison.csv"
"Independent experimental confirmation","(none)","not attempted","n/a","not established","code-language change is not independent replication","limitations"
"WCT physical mechanism / universal law","(none)","not attempted","n/a","not established","out of scope; statistical pattern only","limitations"
